Station,ID,Address,Date,TSS,DO,P,ENT,Sal,Temp,pH,CHL_A,N
Leipsic River ,#REF!, Denny St. (Rt. 9),10/12/2022 7:49,65.3,7.6,0.11,197,9.22,15.4,7.2,10.6,0.97
Leipsic River ,#REF!, Denny St. (Rt. 9),11/9/2022 7:35,43.6,8.51,0.14,223,14.67,13.8,7.5,5.73,0.76
Leipsic River ,#REF!, Mt. Friendship Rd. (Rt. 15),12/7/2021 9:34,1.5,10.16,0.1,22,0.12,7.9,6.7,2.23,2.78
Leipsic River ,#REF!, Mt. Friendship Rd. (Rt. 15),2/3/2022 8:28,4,12.13,0.08,102,0.13,6.2,6.4,2.23,3.55
Leipsic River ,#REF!, Mt. Friendship Rd. (Rt. 15),3/23/2022 10:12,4.2,10.96,0.11,85,0.11,10.2,6.9,2.77,3.34
Leipsic River ,#REF!, Mt. Friendship Rd. (Rt. 15),4/12/2022 9:15,3,10.1,0.11,83,0.05,11.9,6.1,1.07,3.25
Leipsic River ,#REF!, Mt. Friendship Rd. (Rt. 15),5/10/2022 8:25,2.9,9.78,0.18,145,0.11,13.7,7.1,1.57,3.57
Leipsic River ,#REF!, Mt. Friendship Rd. (Rt. 15),6/8/2022 10:35,180,8.06,0.2,690,0.11,22.8,7.3,6.02,3.13
Leipsic River ,#REF!, Mt. Friendship Rd. (Rt. 15),7/13/2022 8:45,3.5,7.79,0.19,731,0.12,23.7,7.4,1.03,3.19
Leipsic River ,#REF!, Mt. Friendship Rd. (Rt. 15),8/17/2022 8:30,3,8,0.22,1960,0.19,20.4,7.3,0.64,3.05
Leipsic River ,#REF!, Mt. Friendship Rd. (Rt. 15),9/20/2022 10:18,2.2,8.19,0.19,311,0.13,21.1,7.3,1.88,3.05
Leipsic River ,#REF!, Mt. Friendship Rd. (Rt. 15),10/12/2022 10:12,2.1,10.55,0.14,2410,0.12,14,7.4,15.5,3.46
Leipsic River ,#REF!, Mt. Friendship Rd. (Rt. 15),11/9/2022 9:58,0.6,9.57,0.16,66,0.13,11.6,7.2,1.3,1.68
Little River ,#REF!, Bayside Dr. (Rt. 9),12/7/2021 6:47,66.8,10.42,0.25,1610,3.87,8.1,7.2,42.3,2.11
Little River ,#REF!, Bayside Dr. (Rt. 9),1/12/2022 6:42,167,12.69,0.23,74,15.65,0.7,7.7,8.25,1.59
Little River ,#REF!, Bayside Dr. (Rt. 9),2/3/2022 6:41,82.3,11.92,0.21,523,3.44,4.4,7.2,7.66,2.21
Little River ,#REF!, Bayside Dr. (Rt. 9),3/23/2022 6:50,62.5,8.83,0.22,192,2.53,11.6,7.4,36.6,2.35
Little River ,#REF!, Bayside Dr. (Rt. 9),4/12/2022 6:54,112,10.12,0.16,10,10.43,11.9,7.6,31.4,1.93
Little River ,#REF!, Bayside Dr. (Rt. 9),5/10/2022 6:31,47.4,9.93,0.09,670,11.64,11.6,7.6,13.9,1.27
Little River ,#REF!, Bayside Dr. (Rt. 9),6/8/2022 6:28,118,6.1,0.21,496,15.06,23.6,7.2,39.9,1.84
Little River ,#REF!, Bayside Dr. (Rt. 9),7/13/2022 6:54,197,3.13,0.36,3450,8.96,26,7,70.2,2.26
Little River ,#REF!, Bayside Dr. (Rt. 9),8/17/2022 6:18,114,6.07,0.27,2010,18.57,22.4,7.2,44.5,1.59
Little River ,#REF!, Bayside Dr. (Rt. 9),9/20/2022 6:18,24.3,4.04,0.19,373,21.61,22.8,7.2,19.9,1.94
Little River ,#REF!, Bayside Dr. (Rt. 9),10/12/2022 6:22,46.5,8.79,0.24,1450,6.23,13.7,7.4,13.9,2
Little River ,#REF!, Bayside Dr. (Rt. 9),11/9/2022 6:27,93.2,8.71,0.23,987,12.83,10.4,7.6,14.4,1.75
Little River ,#REF!, N. Little Creek Rd. (Rt. 8),12/7/2021 7:00,7.1,7.51,0.12,46,0.18,8.7,6.5,1.75,1.18
Little River ,#REF!, N. Little Creek Rd. (Rt. 8),1/12/2022 6:54,4.9,9.5,0.08,134,0.44,2.6,6.6,2.26,1.45
Little River ,#REF!, N. Little Creek Rd. (Rt. 8),2/3/2022 6:52,7.9,10.33,0.07,22,0.2,5,6.5,2.78,1.5
Little River ,#REF!, N. Little Creek Rd. (Rt. 8),3/23/2022 7:02,16.6,7.49,0.12,52,0.18,11,6.6,4.3,1.38
Little River ,#REF!, N. Little Creek Rd. (Rt. 8),4/12/2022 7:05,18.1,7.75,0.13,24,0.42,12.5,6.5,3.37,1.51
Little River ,#REF!, N. Little Creek Rd. (Rt. 8),5/10/2022 6:42,10.5,7.96,0.12,263,0.12,12.6,6.6,1.39,1.51
Little River ,#REF!, N. Little Creek Rd. (Rt. 8),6/8/2022 6:53,2.8,6.3,0.06,288,0.35,21.8,6.6,1.11,1.43
Little River ,#REF!, N. Little Creek Rd. (Rt. 8),7/13/2022 7:06,13.3,5.32,0.18,690,0.31,23.9,6.6,18.6,1.51
Little River ,#REF!, N. Little Creek Rd. (Rt. 8),8/17/2022 8:28,9.6,5.8,0.12,582,0.36,20.6,6.9,5.25,1.39
Little River ,#REF!, N. Little Creek Rd. (Rt. 8),9/20/2022 6:43,8.2,5.53,0.11,545,0.69,19.9,6.7,3.15,1.34
Little River ,#REF!, N. Little Creek Rd. (Rt. 8),10/12/2022 9:55,6.1,5.53,0.09,521,0.13,13,6.8,3.63,1.42
Little River ,#REF!, N. Little Creek Rd. (Rt. 8),11/9/2022 7:03,16.9,4.52,0.19,615,0.27,12.1,6.8,1.55,0.49
St. Jones River ,#REF!," mouth, Bowers Beach",12/6/2021 7:03,70.7,9.98,0.11,108,18.02,9.4,7.5,6.81,1.36
St. Jones River ,#REF!," mouth, Bowers Beach",1/11/2022 7:13,150,12.31,0.26,85,19.32,1.6,7.8,15.6,1.64
St. Jones River ,#REF!," mouth, Bowers Beach",2/8/2022 7:00,156,11.81,0.29,156,19.27,3.5,7.9,44.9,1.7
St. Jones River ,#REF!," mouth, Bowers Beach",3/8/2022 7:30,53.8,9.27,0.12,31,14.2,11.9,8.1,20.5,1.7
St. Jones River ,#REF!," mouth, Bowers Beach",4/6/2022 8:54,128,9.23,0.22,213,19.43,12.1,7.7,32.1,1.32
St. Jones River ,#REF!," mouth, Bowers Beach",5/11/2022 6:43,157,8.72,0.23,132,13.84,15.1,7.4,20.7,1.51
St. Jones River ,#REF!," mouth, Bowers Beach",6/7/2022 6:50,40.3,6.87,0.07,41,24.06,22.3,8.1,19.8,0.55
St. Jones River ,#REF!," mouth, Bowers Beach",7/6/2022 7:04,74.2,6.51,0.03,197,25.93,24.9,7.9,20.5,0.65
St. Jones River ,#REF!," mouth, Bowers Beach",8/9/2022 7:29,66.5,5.83,0.03,52,29.89,28.9,7.8,25.3,0.45
St. Jones River ,#REF!," mouth, Bowers Beach",9/7/2022 6:47,245,5.84,0.27,496,28.86,23.4,7.6,39.2,1.28
St. Jones River ,#REF!," mouth, Bowers Beach",10/11/2022 6:49,35.4,8.02,0.08,134,17.46,14.5,7.7,6.59,1.02
St. Jones River ,#REF!," mouth, Bowers Beach",11/2/2022 6:54,25.5,8.3,0.03,10,24.37,15.5,7.9,6.11,0.89
St. Jones River ,#REF!, Barkers Landing,12/6/2021 7:20,28.9,10.34,0.09,160,8.81,8.7,7.3,3.86,1.74
St. Jones River ,#REF!, Barkers Landing,1/11/2022 7:31,37.1,12.9,0.13,108,5.88,1.5,7.5,3.99,1.98
St. Jones River ,#REF!, Barkers Landing,2/8/2022 7:19,168,11.85,0.29,199,7.16,3.6,7.5,18.9,2.6
St. Jones River ,#REF!, Barkers Landing,3/8/2022 7:47,109,9.17,0.24,68,2.48,12.4,7.5,52.6,2.77
St. Jones River ,#REF!, Barkers Landing,4/6/2022 9:11,89,9.67,0.15,1670,6.84,12.4,7.3,15.8,1.58
St. Jones River ,#REF!, Barkers Landing,5/11/2022 7:28,309,9.09,0.45,145,12.64,14.4,7.4,22.2,2.43
St. Jones River ,#REF!, Barkers Landing,6/7/2022 7:09,64.5,6.97,0.1,62,21.16,22.3,7.7,16.8,0.73
St. Jones River ,#REF!, Barkers Landing,7/6/2022 7:25,75.2,5.46,0.18,2600,9.29,25,7.2,14.3,1.21
St. Jones River ,#REF!, Barkers Landing,8/9/2022 7:47,95.8,5.11,0.22,1600,20.33,28.6,7.4,27.8,1.15
St. Jones River ,#REF!, Barkers Landing,9/7/2022 7:42,112,5.01,0.19,1020,23.8,23.8,7.2,12.9,0.98
St. Jones River ,#REF!, Barkers Landing,10/11/2022 7:18,38.3,8.29,0.11,75,6.11,15.3,7.5,19.2,1.2
St. Jones River ,#REF!, Barkers Landing,11/2/2022 7:17,24.8,7.85,0.09,146,17.77,15.2,7.6,4.7,0.99
St. Jones River ,#REF!, East Lebanon Rd. (Rt. 10),12/6/2021 7:34,28.8,10.33,0.09,398,2.2,8.6,7.2,14,2.2
St. Jones River ,#REF!, East Lebanon Rd. (Rt. 10),1/11/2022 7:45,32,13.07,0.12,523,0.88,1.3,7.6,29,2.33
St. Jones River ,#REF!, East Lebanon Rd. (Rt. 10),2/8/2022 7:35,44.1,12.14,0.14,323,1.14,3.7,7.5,20,2.51
St. Jones River ,#REF!, East Lebanon Rd. (Rt. 10),3/8/2022 8:04,99,9.01,0.26,345,0.4,12.8,7.6,90.6,3.28
St. Jones River ,#REF!, East Lebanon Rd. (Rt. 10),4/6/2022 9:40,63,10.05,0.16,775,1.25,13.2,7.4,45,1.97
St. Jones River ,#REF!, East Lebanon Rd. (Rt. 10),5/11/2022 7:58,52.7,8.29,0.11,172,3.52,15.8,7.1,31.8,1.23
St. Jones River ,#REF!, East Lebanon Rd. (Rt. 10),6/7/2022 7:24,20.6,3.97,0.1,63,11.62,23.1,7,4.08,0.96
St. Jones River ,#REF!, East Lebanon Rd. (Rt. 10),7/6/2022 7:50,73.8,5.37,0.26,1730,2.11,25.5,7.5,37.9,1.43
St. Jones River ,#REF!, East Lebanon Rd. (Rt. 10),8/9/2022 8:02,91.7,5.39,0.19,987,8.37,29.2,7.3,94.3,1.04
St. Jones River ,#REF!, East Lebanon Rd. (Rt. 10),9/7/2022 7:57,44.8,4.59,0.27,2140,15.71,23.9,7.2,9.82,1.28
St. Jones River ,#REF!, East Lebanon Rd. (Rt. 10),10/11/2022 7:32,77.2,9.61,0.22,496,1.29,14.8,7.5,96.7,2.09
St. Jones River ,#REF!, East Lebanon Rd. (Rt. 10),11/2/2022 7:53,29.5,8.17,0.08,259,11.47,15.5,7.4,9.99,0.99
Fork Branch ,#REF!, State College Rd. (Rd. 69),12/6/2021 8:25,2.7,10.31,0.12,32,0.1,8.3,7.2,7.48,0.92
Fork Branch ,#REF!, State College Rd. (Rd. 69),1/11/2022 8:39,5.7,13.05,0.13,2090,0.12,0.9,7.3,2.28,1.34
Fork Branch ,#REF!, State College Rd. (Rd. 69),2/8/2022 8:42,5.5,11.66,0.1,141,0.11,4.4,7.2,4.26,1.73
Fork Branch ,#REF!, State College Rd. (Rd. 69),3/8/2022 9:11,4.8,7.14,0.11,52,0.1,14.1,7.3,4.83,1.27
Fork Branch ,#REF!, State College Rd. (Rd. 69),4/6/2022 10:37,70.4,9.11,0.33,4840,0.05,12.8,6.9,16.4,1.74
Fork Branch ,#REF!, State College Rd. (Rd. 69),5/11/2022 9:46,5.1,9.05,0.22,121,0.05,16.1,7.1,2.39,1.84
Fork Branch ,#REF!, State College Rd. (Rd. 69),6/7/2022 8:26,8.1,6.07,0.29,65,0.1,22.3,7.2,17,1.64
Fork Branch ,#REF!, State College Rd. (Rd. 69),7/6/2022 9:29,10.6,6.67,0.24,4840,0.05,23.6,6.9,5.39,1.1
Fork Branch ,#REF!, State College Rd. (Rd. 69),8/9/2022 9:00,7,5.81,0.29,148,0.12,29.6,7.2,43.7,0.73
Fork Branch ,#REF!, State College Rd. (Rd. 69),9/7/2022 9:26,6.1,5.55,0.21,4840,0.11,22,6.8,6.77,1.08
Fork Branch ,#REF!, State College Rd. (Rd. 69),10/11/2022 9:15,2.6,8.11,0.11,222,0.1,13.5,7.1,1.15,0.71
Fork Branch ,#REF!, State College Rd. (Rd. 69),11/2/2022 9:11,4.5,6.28,0.22,345,0.12,15,7,2.15,0.61
Moores Lake ,#REF!, S. State St. (Rd. 27),12/6/2021 8:10,4.7,11.76,0.06,1,0.15,8.8,7.5,33.1,5
Moores Lake ,#REF!, S. State St. (Rd. 27),1/11/2022 8:22,6.9,14.05,0.05,123,0.2,2.1,7.4,43.7,5.19
Moores Lake ,#REF!, S. State St. (Rd. 27),2/8/2022 8:22,4.3,12.65,0.05,19,0.14,5.8,7.4,21.8,5.89
Moores Lake ,#REF!, S. State St. (Rd. 27),3/8/2022 8:53,8.6,10.72,0.06,8,0.12,13.6,7.7,18,5.78
Moores Lake ,#REF!, S. State St. (Rd. 27),4/6/2022 10:17,4.7,10.44,0.06,1630,0.1,13.3,7.5,16,3.87
Moores Lake ,#REF!, S. State St. (Rd. 27),5/11/2022 9:02,9.2,9.36,0.09,19,0.1,16.4,7.3,8.57,3.6
Moores Lake ,#REF!, S. State St. (Rd. 27),6/7/2022 8:05,10,8.72,0.08,24,0.13,23.8,8.1,20.8,3.7
Moores Lake ,#REF!, S. State St. (Rd. 27),7/6/2022 9:12,21.6,8.56,0.13,325,0.12,26.2,8.1,64.6,2.38
Moores Lake ,#REF!, S. State St. (Rd. 27),8/9/2022 8:43,11.8,7.48,0.1,84,0.12,29.1,7.9,64.9,1
Moores Lake ,#REF!, S. State St. (Rd. 27),9/7/2022 9:06,14.8,6.5,0.13,170,0.16,24.1,7.5,22.1,1.54
Moores Lake ,#REF!, S. State St. (Rd. 27),10/11/2022 9:00,13.8,8.42,0.1,22,0.05,17,7.4,9.68,2.34
Moores Lake ,#REF!, S. State St. (Rd. 27),11/2/2022 8:37,5.8,9.01,0.04,53,0.14,15.8,7.4,18,4.89
Silver Lake ,#REF!, Spillway (Dover City Park),2/8/2022 9:00,6.4,12.4,0.09,49,0.15,4.9,7.2,31.7,1.41
Silver Lake ,#REF!, Spillway (Dover City Park),3/8/2022 9:24,21.6,12.11,0.12,8,0.11,12.3,8.9,130,1.11
Silver Lake ,#REF!, Spillway (Dover City Park),4/6/2022 11:02,22.3,10.1,0.16,391,0.05,13.2,7.2,60.4,1.2
Silver Lake ,#REF!, Spillway (Dover City Park),5/11/2022 10:03,10.4,8.96,0.21,387,0.05,16.3,7,17,1.43
Silver Lake ,#REF!, Spillway (Dover City Park),6/7/2022 8:44,14.3,7.3,0.19,80,0.1,24.2,7.4,21.9,1
Silver Lake ,#REF!, Spillway (Dover City Park),7/6/2022 10:28,20.4,8.44,0.18,173,0.17,26.1,9.1,91.3,1.59
Silver Lake ,#REF!, Spillway (Dover City Park),8/9/2022 9:19,18,8.04,0.13,69,0.11,29,9.2,92.9,2.06
Silver Lake ,#REF!, Spillway (Dover City Park),9/7/2022 9:48,23.4,7.56,0.18,330,0.1,24.6,8,83.2,2.15
Silver Lake ,#REF!, Spillway (Dover City Park),10/11/2022 9:30,11,9.25,0.1,27,0.05,16.6,7.3,56,1.16
Silver Lake ,#REF!, Spillway (Dover City Park),11/2/2022 9:48,15.4,10.76,0.12,181,0.11,17,7.7,114,1.28
Derby Pond ,#REF!, Boat Ramp (Rt. 13A),12/6/2021 7:51,2.8,9.98,0.05,13,0.17,8.6,7.4,15.7,2.59
Derby Pond ,#REF!, Boat Ramp (Rt. 13A),1/11/2022 8:05,3.2,13.23,0.04,187,0.14,0.7,7.4,11.3,3.15
Derby Pond ,#REF!, Boat Ramp (Rt. 13A),2/8/2022 7:57,4.6,12.11,0.04,67,0.18,4.4,7.3,11.8,3.62
Derby Pond ,#REF!, Boat Ramp (Rt. 13A),3/8/2022 8:25,4.6,10.44,0.04,45,0.12,13,7.7,6.63,3.75
Derby Pond ,#REF!, Boat Ramp (Rt. 13A),4/6/2022 9:59,5.7,11.25,0.04,192,0.15,13.8,7.8,27.3,3.08
Derby Pond ,#REF!, Boat Ramp (Rt. 13A),5/11/2022 8:26,4.3,9.05,0.08,91,0.14,15.8,7.3,8.57,2.95
Derby Pond ,#REF!, Boat Ramp (Rt. 13A),6/7/2022 7:44,10.9,10.4,0.07,2,0.29,22.8,7.9,37.1,2.28
Derby Pond ,#REF!, Boat Ramp (Rt. 13A),7/6/2022 8:54,12.7,7.52,0.14,192,0.16,25.8,8,51.2,1.61
Derby Pond ,#REF!, Boat Ramp (Rt. 13A),8/9/2022 8:23,6.4,9.07,0.09,12,0.29,28.2,8.6,38.2,0.96
Derby Pond ,#REF!, Boat Ramp (Rt. 13A),9/7/2022 8:44,10.6,5.25,0.15,731,0.39,23.8,7.4,42.4,1.68
Derby Pond ,#REF!, Boat Ramp (Rt. 13A),10/11/2022 7:54,3.6,8.11,0.05,20,0.13,13.9,7.2,19.3,1.94
Derby Pond ,#REF!, Boat Ramp (Rt. 13A),11/2/2022 8:12,6.2,9.69,0.05,35,0.35,15.4,7.7,17.1,2.41
Murderkill River ,#REF!, Rt. 13,12/15/2021 8:17,1.5,11.6,0.05,70,0.1,6.9,6.5,6.8,3.26
Murderkill River ,#REF!, Rt. 13,1/13/2022 7:04,2.4,12.35,0.05,192,0.05,3.9,7.2,0.89,3.26
Murderkill River ,#REF!, Rt. 13,2/9/2022 8:38,3.3,12.46,0.05,149,0.11,4.1,6.9,2.3,3.12
Murderkill River ,#REF!, Rt. 13,3/15/2022 7:08,4.3,11.1,0.07,152,0.05,7.7,7,2.37,2.95
Murderkill River ,#REF!, Rt. 13,4/13/2022 9:00,4.9,9.28,0.08,68,0.1,16.2,7.2,2.22,3.04
Murderkill River ,#REF!, Rt. 13,5/17/2022 6:55,4.4,8.02,0.14,204,0.11,17,7.1,0.99,3.06
Murderkill River ,#REF!, Rt. 13,6/14/2022 10:48,2.9,7.84,0.11,551,0.12,20.8,7.4,0.79,3.02
Murderkill River ,#REF!, Rt. 13,7/12/2022 7:03,3.4,7.46,0.11,651,0.12,20.3,7.3,0.35,2.82
Murderkill River ,#REF!, Rt. 13,8/16/2022 7:20,2.7,7.93,0.08,922,0.17,19.2,7,1.12,3.06
Murderkill River ,#REF!, Rt. 13,9/13/2022 7:11,4.4,7.53,0.1,2090,0.1,21.9,7,0.44,1.95
Murderkill River ,#REF!, Rt. 13,10/18/2022 7:27,3.1,10.11,0.05,252,0.1,13.3,7.3,0.73,2.89
Murderkill River ,#REF!, Rt. 13,11/3/2022 7:22,0.5,8.64,0.09,192,0.1,12.8,7,0.5,2.25
Browns Branch ,#REF!, Milford-Harrington Hwy. (Rt. 14),1/13/2022 7:21,2,10.58,0.04,90,0.13,6.1,6.7,1.03,3.53
Browns Branch ,#REF!, Milford-Harrington Hwy. (Rt. 14),3/15/2022 7:25,7,10.16,0.04,34,0.1,9.5,6.7,3.18,3.28
Browns Branch ,#REF!, Milford-Harrington Hwy. (Rt. 14),5/17/2022 7:10,3.9,8.36,0.04,240,0.05,15.7,6.8,0.68,3.26
Browns Branch ,#REF!, Milford-Harrington Hwy. (Rt. 14),7/12/2022 7:18,3.6,8.27,0.05,300,0.11,19,7.1,0.53,3.53
Browns Branch ,#REF!, Milford-Harrington Hwy. (Rt. 14),8/16/2022 7:36,2.7,8.36,0.05,321,0.11,18.3,7,0.43,3.43
Browns Branch ,#REF!, Milford-Harrington Hwy. (Rt. 14),9/13/2022 7:28,7.5,7.77,0.06,3470,0.1,21,6.8,0.67,3.23
Browns Branch ,#REF!, Milford-Harrington Hwy. (Rt. 14),10/18/2022 7:47,0.9,8.32,0.04,192,0.11,13.5,6.8,0.34,3.38
Browns Branch ,#REF!, Milford-Harrington Hwy. (Rt. 14),11/3/2022 7:38,2.7,7.93,0.04,221,0.1,13.2,6.7,0.4,2.45
Murderkill River ,#REF!, Bay Rd. (Rt. 1/113),1/13/2022 9:27,54,12.29,0.14,148,0.5,3,7.2,10.8,3.86
Murderkill River ,#REF!, Bay Rd. (Rt. 1/113),3/15/2022 9:29,49.2,11.46,0.16,82,0.35,10.1,7.4,69.3,3.72
Murderkill River ,#REF!, Bay Rd. (Rt. 1/113),5/17/2022 8:52,37.2,7.98,0.13,75,0.35,20.3,7,61.3,2.68
Murderkill River ,#REF!, Bay Rd. (Rt. 1/113),7/12/2022 9:00,46.5,3.46,0.18,1030,1.65,25.2,7,22.4,1.61
Murderkill River ,#REF!, Bay Rd. (Rt. 1/113),8/16/2022 8:33,33.6,4.58,0.24,880,11.49,24.5,6.9,11.3,1.55
Murderkill River ,#REF!, Bay Rd. (Rt. 1/113),9/13/2022 9:17,38.9,4.68,0.12,2010,5.55,25.3,6.9,55.4,1.09
Murderkill River ,#REF!, Bay Rd. (Rt. 1/113),10/18/2022 9:06,23.2,7.05,0.11,356,2.88,12.2,7.1,16,1.61
Murderkill River ,#REF!, Bay Rd. (Rt. 1/113),11/3/2022 9:38,23.6,6.39,0.09,309,9.63,15.2,7.1,4.92,1.29
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),12/15/2021 12:27,113,10.2,0.16,31,23.8,7.5,7.5,17,1.16
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),1/13/2022 8:54,31.6,11.56,0.07,10,21.89,4.2,7,8.85,0.86
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),2/9/2022 11:05,81,11.82,0.17,63,8.22,6,7,18.6,2.65
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),3/15/2022 8:55,42.7,10.89,0.09,31,19.03,10.5,7.3,42.3,1.14
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),4/13/2022 9:32,66.6,10.07,0.09,31,13.77,16.2,8,52.8,1.27
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),5/17/2022 8:11,24,6.06,0.06,161,12.63,20.6,7,13.6,1.05
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),6/14/2022 8:00,102,6.65,0.12,218,25.33,24.2,7.8,29.9,0.76
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),7/12/2022 8:23,59.4,7,0.02,97,24.39,24.5,7.8,46.8,0.69
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),8/16/2022 7:57,181,5.27,0.03,313,26.08,23.8,7.1,22.2,0.59
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),9/13/2022 8:39,34.5,5.08,0.06,201,24.96,25.6,7.1,13.7,0.61
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),10/18/2022 8:27,22.3,8.29,0.02,5,24.3,13.2,7.6,11.8,0.54
Murderkill River ,#REF!, Bowers Beach Wharf (mouth),11/3/2022 9:10,38.5,8.3,0.03,52,24.2,15.3,7.6,10.3,0.67
Murderkill River near levee ,#REF!, MNWA (RM 3.25),1/13/2022 9:06,55.8,12.15,0.12,132,14.23,2.4,7.1,10.3,1.97
Murderkill River near levee ,#REF!, MNWA (RM 3.25),3/15/2022 9:08,60.2,11.12,0.14,31,10.66,9.5,7.6,55.7,2.38
Murderkill River near levee ,#REF!, MNWA (RM 3.25),5/17/2022 8:20,24.8,4.98,0.09,187,3.99,20.1,6.9,11.9,1.67
Murderkill River near levee ,#REF!, MNWA (RM 3.25),7/12/2022 8:37,81,4.59,0.19,816,11.79,25,7.1,17.6,1.24
Murderkill River near levee ,#REF!, MNWA (RM 3.25),8/16/2022 8:03,53.9,4.06,0.15,677,19.83,24,6.9,15,1.01
Murderkill River near levee ,#REF!, MNWA (RM 3.25),9/13/2022 8:58,39.8,3.38,0.13,1050,15.94,24.9,6.8,10.4,0.93
Murderkill River near levee ,#REF!, MNWA (RM 3.25),10/18/2022 8:37,15.8,8.02,0.1,146,9.4,15,7.2,8.43,1.17
Murderkill River near levee ,#REF!, MNWA (RM 3.25),11/3/2022 9:19,38.8,7.08,0.1,85,16.37,15.2,7.2,6.55,1.08
Murderkill Rv. ,#REF!, confl. of KCWWTF discharge ditch,1/13/2022 9:18,33.7,11.14,0.16,145,1.2,4,7.4,24.4,3.2
Murderkill Rv. ,#REF!, confl. of KCWWTF discharge ditch,3/15/2022 9:18,30.4,10.79,0.19,74,0.78,9.6,7.7,36.9,3.49
Murderkill Rv. ,#REF!, confl. of KCWWTF discharge ditch,5/17/2022 8:26,26.4,6.61,0.09,143,1.11,20.2,7.1,38.6,2.16
Murderkill Rv. ,#REF!, confl. of KCWWTF discharge ditch,7/12/2022 8:51,67.2,3.34,0.21,1370,4.54,25.2,7,15.3,1.5
Murderkill Rv. ,#REF!, confl. of KCWWTF discharge ditch,8/16/2022 8:10,45.8,3.37,0.14,813,9.95,24,7,17.1,1.12
Murderkill Rv. ,#REF!, confl. of KCWWTF discharge ditch,9/13/2022 9:12,34.1,3.98,0.11,1920,10.77,25.2,6.9,18.8,0.92
Murderkill Rv. ,#REF!, confl. of KCWWTF discharge ditch,10/18/2022 9:43,31.3,5.94,0.13,731,3.21,14.3,7.2,13.4,1.6
Murderkill Rv. ,#REF!, confl. of KCWWTF discharge ditch,11/3/2022 9:25,55,6.14,0.13,233,9.82,15,7.1,6.1,1.57
McColley Pond ,#REF!, Canterbury Rd. (Rt. 15),1/13/2022 7:40,1.1,12.97,0.03,35,0.13,2.3,7.1,1.71,5.7
McColley Pond ,#REF!, Canterbury Rd. (Rt. 15),3/15/2022 7:44,7.9,12,0.05,48,0.11,8.8,7.5,9.32,3.75
McColley Pond ,#REF!, Canterbury Rd. (Rt. 15),5/17/2022 7:32,8.5,6.89,0.09,34,0.1,19.5,7,51.9,4.16
McColley Pond ,#REF!, Canterbury Rd. (Rt. 15),7/12/2022 7:39,18.9,10.52,0.09,32,0.11,23.7,8.6,69.3,2.99
McColley Pond ,#REF!, Canterbury Rd. (Rt. 15),8/16/2022 7:58,36.5,9.97,0.16,46,0.11,23.9,8.9,171,3.28
McColley Pond ,#REF!, Canterbury Rd. (Rt. 15),9/13/2022 8:32,16.9,10.41,0.07,2,0.11,24.8,9.3,111,3.01
McColley Pond ,#REF!, Canterbury Rd. (Rt. 15),10/18/2022 8:09,11.4,10.44,0.07,15,0.11,15.7,7.4,53.6,3.96
McColley Pond ,#REF!, Canterbury Rd. (Rt. 15),11/3/2022 8:01,8.2,10.77,0.07,12,0.11,14.6,7.5,56.3,4.24
Coursey Pond ,#REF!, Canterbury Rd. (Rt. 15),1/13/2022 7:57,2.4,13.52,0.05,6,0.1,2.2,7.2,6.86,3.88
Coursey Pond ,#REF!, Canterbury Rd. (Rt. 15),3/15/2022 8:00,5.8,11.86,0.05,71,0.05,8.3,7.5,11.4,3.74
Coursey Pond ,#REF!, Canterbury Rd. (Rt. 15),5/17/2022 7:43,4.3,6.34,0.09,31,0.05,20.3,6.9,7.69,3.4
Coursey Pond ,#REF!, Canterbury Rd. (Rt. 15),7/12/2022 7:57,27.7,10.4,0.16,118,0.05,24.5,9.1,109,1.85
Coursey Pond ,#REF!, Canterbury Rd. (Rt. 15),8/16/2022 11:35,33.2,8.8,0.25,8,0.1,24,9.1,130,1.92
Coursey Pond ,#REF!, Canterbury Rd. (Rt. 15),9/13/2022 8:50,30.7,9.53,0.25,288,0.05,25.4,8.7,166,2.9
Coursey Pond ,#REF!, Canterbury Rd. (Rt. 15),10/18/2022 8:28,20,9.95,0.12,45,0.1,14.9,7.4,96.3,2.47
Coursey Pond ,#REF!, Canterbury Rd. (Rt. 15),11/3/2022 8:22,13.7,8.55,0.1,15,0.1,13.9,7,51.9,2.21
Double Run ,#REF!, Barratts Chapel Rd. (Rd. 371),1/13/2022 8:16,18.8,13.1,0.09,125,0.14,1.7,7,15.6,3.69
Double Run ,#REF!, Barratts Chapel Rd. (Rd. 371),3/15/2022 8:21,29.4,10.76,0.11,202,0.1,9.2,7.1,47.1,3.8
Double Run ,#REF!, Barratts Chapel Rd. (Rd. 371),5/17/2022 8:04,13.4,7.5,0.08,615,0.05,17.8,6.7,29.6,3.08
